#ID = 
#Grid Position = Position of spot on microarray
#Name = Gene Name
#Clone_description = Description of source of cDNA for microarray
#Gene Names = alternative  gene names
#GB_ACC = GenBank Accesssion number
#Symbol = Gene Symbol
#Mouse Unigene = Unigene number
#LocusLink ID = Locus link ID number
#SPOT_ID = 
*ID**	Grid Position**	Name**	Clone_description**	Gene Names**	GB_ACC**	Symbol**	Mouse Unigene**	LocusLink ID**	SPOT_ID*
68	GRID-   4-R1C2		M.musculus 45S pre rRNA gene	no value	AA408676 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AA408676>		no value	-	
69	GRID-   4-R1C3	expressed sequence AA536749	Mus musculus p116Rip mRNA, complete  cds	Rho interacting protein 3	BG076953 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG076953>	AA536749	2402	26936	
70	GRID-   4-R1C4	ATPase, H+ transporting, V1 subunit B, isoform 2	M.musculus mRNA for vacuolar  adenosine triphosphatase subunit B	ATPase, H+ transporting, lysosomal (vacuolar proton pump), beta 56/58 kDa, isoform 2	BG077252 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077252>	Atp6v1b2	10727	11966	
71	GRID-   4-R1C5	mbt domain containing 1		expressed sequence AA408199	BG064228 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064228>	Mbtd1	29067	103537	
72	GRID-   4-R2C1	keratin complex 1, acidic, gene 18	Mus musculus cytokeratin (endoB)  gene, complete cds	keratin complex 1, acidic, gene 18	BG077966 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077966>	Krt1-18	22479	16668	
73	GRID-   4-R2C3	proteasome (prosome, macropain) subunit, alpha type 7	Mus musculus proteasome (prosome,  macropain) subunit, alpha type 7 (Psma7), mRNA	proteasome (prosome, macropain) subunit, alpha type 7	BG064899 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064899>	Psma7	21728	26444	
74	GRID-   4-R2C4	chaperonin subunit 3 (gamma)	Mus musculus chaperonin subunit 3  (gamma) (Cct3), mRNA	chaperonin subunit 3 (gamma)	BG078552 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG078552>	Cct3	3576	12462	
75	GRID-   4-R2C5	ATP-binding cassette, sub-family C (CFTR/MRP), member 1		no value	C76153 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=C76153>	Abcc1	no value	-	
76	GRID-   4-R3C1	NMDA receptor-regulated gene 1	Mus musculus acetyltransferase  Tubedown-1 mRNA, complete cds	NMDA receptor-regulated gene 1	BG065941 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG065941>	Narg1	28256	74838	
77	GRID-   4-R3C2	RIKEN cDNA 4930553M18 gene	Homo sapiens PNAS-104 mRNA,  complete cds	no value	BG079495 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG079495>	4930553M18Rik	200595	75316	
78	GRID-   4-R3C4	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble	Homo sapiens cytosolic  aminopeptidase P mRNA, complete cds	cytosolic aminopeptidase P	BG079790 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG079790>	Xpnpep1	99776	170750	
79	GRID-   4-R3C5	Transcribed sequences	Mus musculus nucleolar protein  ANKT mRNA, complete cds	expressed sequence C81184	BG080067 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG080067>		165793	97732	
80	GRID-   4-R4C1	Alstrom syndrome 1 homolog (human)		no value	C85923 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=C85923>	Alms1	147518	236266	
81	GRID-   4-R4C3		Mus musculus TCR beta locus from  bases 501860 to 700960 (section 3 of 3) of the complete  sequence	no value	BG067688 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067688>		182517	229279	
82	GRID-   4-R4C4	ariadne ubiquitin-conjugating enzyme E2 binding protein homolog 1 (Drosophila)	Homo sapiens mRNA; cDNA  DKFZp586A1124 (from clone DKFZp586A1124)	expressed sequence AU021774	BG068041 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068041>	Arih1	21489	102674	
83	GRID-   4-R4C5	Transcribed sequences		ESTs	BG068403 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068403>		156409	-	
84	GRID-   4-R5C1			RIKEN cDNA 1810037G04 gene	BG068767 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068767>		104531	69168	
85	GRID-   4-R5C2	Transcribed sequence with weak similarity to protein pir:T12486 (H.sapiens) T12486 hypothetical protein DKFZp566H033.1 - human		ESTs, Weakly similar to I49130 reverse transcriptase - mouse [M.musculus]	BG069133 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069133>		172158	-	
86	GRID-   4-R5C3	solute carrier family 12, member 2	Mus musculus solute carrier family 12,  member 2 (Slc12a2), mRNA	solute carrier family 12, member 2	BG069505 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069505>	Slc12a2	4168	20496	
87	GRID-   4-R5C4	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2		RIKEN cDNA 5730450N06 gene	BG069878 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069878>	Cds2	196477	76849	
88	GRID-   4-R5C5	Transcribed sequences		expressed sequence AU015253	BG070231 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070231>		172170	103335	
89	GRID-   5-R1C1	DNA segment, Chr 11, Wayne State University 99, expressed	Homo sapiens clone DT1P1E11 mRNA,  CAG repeat region	DNA segment, Chr 11, Wayne State University 99, expressed	BG062930 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG062930>	D11Wsu99e	99677	28081	
90	GRID-   5-R1C2	prolactin-like protein A	Mus musculus prolactin-like protein A (Prlpa), mRNA	prolactin-like protein A	AA408595 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AA408595>	Prlpa	18607	19110	
91	GRID-   5-R1C3		M.musculus (clone D19PAS4)  microsatellite DNA	ESTs, Weakly similar to TYROSINE-PROTEIN KINASE JAK3 [M.musculus]	BG076942 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG076942>		197400	-	
92	GRID-   5-R1C4	ubiquitously transcribed tetratricopeptide repeat gene, X chromosome	Mus musculus male-specific  histocompatibility antigen H-YDb (Uty) mRNA, complete cds	ubiquitously transcribed tetratricopeptide repeat gene, X chromosome	BG077243 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077243>	Utx	28750	22289	
93	GRID-   5-R1C5	Transcribed sequence with weak similarity to protein ref:NP_081764.1 (M.musculus) RIKEN cDNA 5730493B19 [Mus musculus]		ESTs, Weakly similar to  microtubule-associated protein 1a [Rattus norvegicus] [R.norvegicus]	BG064219 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064219>		197228	-	
94	GRID-   5-R2C1	Transcribed sequences		ESTs	BG064544 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064544>		102777	-	
95	GRID-   5-R2C3		Mus musculus origin recognition complex,  subunit 4 (Orc4), mRNA	origin recognition complex, subunit 4	BG064889 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064889>		21834	26428	
96	GRID-   5-R2C4	peroxisomal trans-2-enoyl-CoA reductase	Mus musculus peroxisomal trans  2-enoyl CoA reductase mRNA, complete cds	peroxisomal trans-2-enoyl-CoA reductase	BG065254 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG065254>	Pecr	29988	111175	
97	GRID-   5-R2C5	STIP1 homology and U-Box containing protein 1	Mus musculus STIP1 homology and U-Box  containing protein 1 (Stub1), mRNA	STIP1 homology and U-Box containing protein 1	BG078866 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG078866>	Stub1	29000	56424	
